59,00:28:21.120 07/13/2019,2061:520119.120,7.26,218.32,-2453645.350,-4767129.300
60,00:28:21.600 07/13/2019,2061:520119.600,7.49,219.52,-2453648.000,-4767129.620
61,00:28:22.020 07/13/2019,2061:520120.020,7.58,220.18,-2453650.390,-4767129.850
62,00:28:24.000 07/13/2019,2061:520120.440,7.68,220.70,-2453652.830,-4767130.050
63,00:28:22.860 07/13/2019,2061:520120.860,7.72,221.31,-2453655.300,-4767130.230
64,00:28:23.280 07/13/2019,2061:520121.280,7.66,222.13,-2453657.770,-4767130.380
65,00:28:23.640 07/13/2019,2061:520121.640,7.64,223.16,-2453659.900,-4767130.460
66,00:28:24.000 07/13/2019,2061:520122.000,7.60,224.43,-2453662.050,-4767130.510
67,00:28:26.000 07/13/2019,2061:520122.420,7.44,227.12,-2453664.590,-4767130.490
68,00:28:24.840 07/13/2019,2061:520122.840,7.21,230.06,-2453667.140,-4767130.410
69,00:28:25.200 07/13/2019,2061:520123.200,7.00,231.94,-2453669.280,-4767130.240
70,00:28:27.000 07/13/2019,2061:520123.560,6.83,232.84,-2453671.370,-4767130.030
71,00:28:25.920 07/13/2019,2061:520123.920,6.64,232.73,-2453673.420,-4767129.840
72,00:28:28.000 07/13/2019,2061:520124.340,6.48,229.97,-2453675.730,-4767129.670
73,00:28:26.760 07/13/2019,2061:520124.760,6.36,224.65,-2453677.910,-4767129.610
74,00:28:27.180 07/13/2019,2061:520125.180,6.19,217.51,-2453679.920,-4767129.760
75,00:28:29.000 07/13/2019,2061:520125.540,6.20,210.75,-2453681.490,-4767130.060
76,00:28:27.960 07/13/2019,2061:520125.960,6.24,203.08,-2453683.120,-4767130.630
77,00:28:30.000 07/13/2019,2061:520126.440,6.49,194.82,-2453684.770,-4767131.600
78,00:28:28.860 07/13/2019,2061:520126.860,6.74,189.41,-2453686.030,-4767132.670
79,00:28:31.000 07/13/2019,2061:520127.340,7.18,185.50,-2453687.320,-4767134.170
80,00:28:29.760 07/13/2019,2061:520127.760,7.44,183.76,-2453688.380,-4767135.600
81,00:28:32.000 07/13/2019,2061:520128.240,7.71,182.13,-2453689.550,-4767137.430
82,00:28:30.660 07/13/2019,2061:520128.660,7.69,181.55,-2453690.530,-4767139.100
83,00:28:31.080 07/13/2019,2061:520129.080,7.65,181.09,-2453691.490,-4767140.750
84,00:28:33.000 07/13/2019,2061:520129.500,7.55,180.69,-2453692.420,-4767142.390
85,00:28:31.920 07/13/2019,2061:520129.920,7.36,179.90,-2453693.300,-4767144.010
86,00:28:34.000 07/13/2019,2061:520130.340,7.07,178.79,-2453694.100,-4767145.610
87,00:28:32.760 07/13/2019,2061:520130.760,6.75,177.15,-2453694.810,-4767147.140
88,00:28:33.180 07/13/2019,2061:520131.180,6.55,174.44,-2453695.430,-4767148.670
89,00:28:35.000 07/13/2019,2061:520131.600,6.30,170.15,-2453695.840,-4767150.230
90,00:28:34.020 07/13/2019,2061:520132.020,5.97,164.37,-2453696.020,-4767151.830
91,00:28:36.000 07/13/2019,2061:520132.440,5.71,158.39,-2453695.970,-4767153.450
92,00:28:34.860 07/13/2019,2061:520132.860,5.48,153.21,-2453695.730,-4767155.070
93,00:28:35.280 07/13/2019,2061:520133.280,5.21,148.68,-2453695.300,-4767156.660
94,00:28:35.640 07/13/2019,2061:520133.640,5.03,145.21,-2453694.840,-4767157.990
95,00:28:36.000 07/13/2019,2061:520134.000,4.80,141.92,-2453694.310,-4767159.260
96,00:28:38.000 07/13/2019,2061:520134.420,4.55,138.27,-2453693.610,-4767160.670
97,00:28:36.780 07/13/2019,2061:520134.780,4.35,135.26,-2453692.970,-4767161.830
98,00:28:37.140 07/13/2019,2061:520135.140,4.13,131.80,-2453692.290,-4767162.900
99,00:28:39.000 07/13/2019,2061:520135.560,3.87,125.98,-2453691.380,-4767164.070
100,00:28:37.980 07/13/2019,2061:520135.980,3.56,117.66,-2453690.380,-4767165.130
101,00:28:40.000 07/13/2019,2061:520136.400,3.24,107.91,-2453689.330,-4767166.070
102,00:28:38.820 07/13/2019,2061:520136.820,3.10,97.68,-2453688.260,-4767166.890
103,00:28:41.000 07/13/2019,2061:520137.240,3.12,87.39,-2453687.120,-4767167.610
104,00:28:39.660 07/13/2019,2061:520137.660,3.31,77.12,-2453685.840,-4767168.230
